,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
212,0.7270742358079101,0.652898236067605,0.8187242901653726,0.529111437981208,0.9031318073723575,0.42477956385865856,0.30366492146596863
15,1.0,0.908824831266448,0.5742561232144396,0.529111437981208,0.8166867877397921,0.8537192968817106,0.6422338568935427
378,0.7270742358079101,0.9276467083881693,0.5776071410339351,0.9156504810177907,0.5840398729932607,0.8562646960664133,0.41361256544502617
125,0.5458515283841797,0.17821659630359282,0.3154589697361337,0.8172722236695786,0.48285328029456126,0.7637838753697118,0.6090750436300176
109,1.0,0.32638751500352103,0.8539804847545112,0.6212978140686835,0.4284689616658003,0.2878702005395006,0.25654450261780104
261,0.5458515283841797,0.6280707133528647,0.8667568848521038,0.6212978140686835,0.34570420273852354,0.3005937358283057,0.18673647469458987
301,0.09061135371186518,0.9357458508332334,0.5226911107801985,0.0,0.6144398507016673,0.6545091314868023,0.3839441535776615
168,0.4541484716158202,0.805793930237025,0.5476867000913818,0.7604437026496063,0.4284689616658003,0.8029816618476316,0.41361256544502617
284,0.27292576419208986,0.6058634163913735,0.4795410165768568,0.8686019052270146,0.5156466887689123,0.8274170225787627,0.3612565445026178
87,1.0,0.6406215098158606,0.979535108632034,0.0,0.02836669057031145,0.12806928482782828,0.08027923211169287
268,0.8187772925762696,0.6459155199592266,0.48393374406966616,0.7604437026496063,0.7560641298194449,0.7902550261233059,0.46073298429319376
279,0.8187772925762696,0.26674856028967886,0.7878076043325132,0.6212978140686835,0.5738402950644256,0.34860458288477825,0.30366492146596863
404,0.7270742358079101,0.6316856558194,0.41312545856465166,0.7604437026496063,0.8092836268025422,0.8077329593168556,0.47993019197207687
64,0.7270742358079101,0.6511605526573532,0.6936692919341185,0.0,0.4296685518404074,0.90394908807863,0.20244328097731243
181,0.5458515283841797,0.537221387051748,0.32582899909889995,0.9156504810177907,0.8665109117991328,0.769213827312476,0.7364746945898779
389,0.636462882096045,0.9684804071253911,0.19985906991055907,0.9156504810177907,0.5198460003091381,0.7877097084021253,0.9424083769633508
411,0.636462882096045,0.6733532452903119,0.4841729785220722,0.8686019052270146,0.7532632606411069,0.7463063146194359,0.4694589877835952
292,0.4541484716158202,0.6511605526573532,0.48695891749835896,0.7604437026496063,0.30352744477848626,0.6468736903508622,0.1884816753926702
105,0.18122270742373037,0.0,0.41613853448000204,0.8172722236695786,0.717453531029529,0.8263988767682725,1.0
88,0.27292576419208986,0.4745865637356355,0.766983016220943,0.0,0.8833201701907784,0.5379444756365255,0.5986038394415357
